Supplementary File 2. Correlaiton and cosine coefficients for item pairs,,,,,
,from,to,spearman,cosine,sample
144,13,35,0.620191431,0.366568744,2
145,13,36,0.634631763,0.470844001,1
146,13,37,0.629073105,0.293859601,1
147,13,38,0.593334449,0.220224559,1
148,13,39,0.673255013,0.496384412,1
149,14,15,0.775088102,0.40845716,1
150,14,16,0.768815149,0.475658447,1
151,14,17,0.669065401,0.228121564,1
152,14,18,0.665149068,0.368601918,1
153,14,19,0.691436197,0.544801354,1
154,14,20,0.574073362,0.373653233,1
155,14,21,0.627588655,0.398334503,1
156,14,22,0.60390721,0.204348743,1
157,14,23,0.68849684,0.456238389,1
158,14,24,0.676329353,0.258120835,1
159,14,25,0.578709626,0.393104076,1
160,14,26,0.584907964,0.358843982,1
161,14,27,0.770382777,0.632558227,1
162,14,28,0.717108035,0.38929525,1
163,14,29,0.723849483,0.379421055,1
164,14,30,0.723326921,0.419428676,2
165,14,31,0.656413896,0.399690449,2
166,14,32,0.692991983,0.434450507,1
167,14,33,0.713411966,0.512516558,1
168,14,34,0.571876439,0.29403463,2
169,14,35,0.579738253,0.36499998,1
170,14,36,0.601952472,0.38834089,2
171,14,37,0.60412081,0.274698555,2
172,14,38,0.599692139,0.375684112,1
173,14,39,0.687453653,0.525443673,2
174,15,16,0.767050303,0.362019002,1
175,15,17,0.69092524,0.422901154,1
176,15,18,0.689041371,0.320024788,1
177,15,19,0.690347352,0.274999142,1
178,15,20,0.595240583,0.340302706,1
179,15,21,0.666346319,0.369337291,1
180,15,22,0.638962183,0.246810988,1
181,15,23,0.681609686,0.174495935,1
182,15,24,0.785831975,0.620492578,1
183,15,25,0.613880409,0.338313431,1
184,15,26,0.592456662,0.101211771,1
185,15,27,0.710833223,0.438877106,2
186,15,28,0.694313823,0.495945454,1
187,15,29,0.702543958,0.354575902,2
188,15,30,0.727070391,0.573834538,1
189,15,31,0.674574871,0.385471523,1
190,15,32,0.69187824,0.284702927,1
191,15,33,0.658545666,0.208569586,1
192,15,34,0.555511967,0.357079506,1
193,15,35,0.576114865,0.250338227,1
194,15,36,0.58523891,0.30978477,1
195,15,37,0.587793696,0.245698571,2
196,15,38,0.575389719,0.18150264,2
197,15,39,0.659329284,0.408351332,2
198,16,17,0.68507434,0.216755688,1
199,16,18,0.634411434,0.460222363,1
200,16,19,0.665352979,0.388012916,1
201,16,20,0.571964974,0.392377257,1
202,16,21,0.634773356,0.316030353,1
203,16,22,0.613047964,0.244718462,2
204,16,23,0.650133175,0.418339372,2
205,16,24,0.650395832,0.351876557,1
206,16,25,0.552819136,0.564092338,1
207,16,26,0.551010408,0.280721188,1
208,16,27,0.682762231,0.457709372,1
209,16,28,0.658287836,0.490269363,1
210,16,29,0.677210508,0.563664079,1
